Team ID,Team Name,League,Player ID,Player Name,Position,Position Rank,Height,Weight,overall_rating,potential_rating,stat
1,Manchester City,English Premier League,1,Kevin De Bruyne,Center Midfielder,#17,61.32,154,91,91,"2,299"
1,Manchester City,English Premier League,2,Erling Haaland,Striker,#9,78,207,90,94,"2,144"
1,Manchester City,English Premier League,3,Rúben Dias,Center Back,#3,74.4,181,88,91,"1,888"
1,Manchester City,English Premier League,4,Ederson,Goalkeeper,#31,74.4,190,88,90,"1,572"
1,Manchester City,English Premier League,5,Bernardo Silva,Center Attacking Midfielder,#20,69.6,141,88,88,"2,210"
1,Manchester City,English Premier League,6,Rodri,Center Defensive Midfielder,#16,75.6,181,87,89,"2,133"
1,Manchester City,English Premier League,7,João Cancelo,Left Back,#7,72,163,87,87,"2,252"
1,Manchester City,English Premier League,8,Aymeric Laporte,Center Back,#14,75.6,187,86,87,"1,962"
1,Manchester City,English Premier League,9,Riyad Mahrez,Right Wing,#26,61.2,148,85,85,"2,049"
1,Manchester City,English Premier League,10,İ. Gündoğan,Center Midfielder,#8,61.32,176,85,85,"2,191"
1,Manchester City,English Premier League,11,Phil Foden,Center Attacking Midfielder,#47,68.4,152,84,90,"2,084"
1,Manchester City,English Premier League,12,Kyle Walker,Right Back,#2,72,183,84,84,"2,186"
1,Manchester City,English Premier League,13,Jack Grealish,Left Wing,#10,61.32,179,84,84,"2,084"
1,Manchester City,English Premier League,14,John Stones,Center Back,#5,74.4,168,83,84,"1,974"
1,Manchester City,English Premier League,15,Manuel Akanji,Center Back,#25,74.4,201,82,83,"1,965"
1,Manchester City,English Premier League,16,Kalvin Phillips,Center Defensive Midfielder,#4,61.2,159,80,83,"2,072"
1,Manchester City,English Premier League,17,Nathan Aké,Center Back,#6,61.32,165,80,81,"2,012"
1,Manchester City,English Premier League,18,J. Álvarez,Center Attacking Midfielder,#19,69.6,157,79,86,"2,129"
1,Manchester City,English Premier League,19,Stefan Ortega,Goalkeeper,#18,73.2,194,79,79,"1,395"
1,Manchester City,English Premier League,20,Sergio Gómez,Center Attacking Midfielder,#21,68.4,150,74,83,"2,061"
1,Manchester City,English Premier League,21,Rico Lewis,Right Back,#82,70.8,154,70,87,"1,724"
1,Manchester City,English Premier League,22,Morgan Rogers,Right Midfielder,#38,74.4,176,67,80,"1,668"
1,Manchester City,English Premier League,23,Cole Palmer,Center Attacking Midfielder,#80,74.4,163,66,80,"1,734"
1,Manchester City,English Premier League,24,Scott Carson,Goalkeeper,#33,75.6,190,65,65,"1,109"
1,Manchester City,English Premier League,25,J. Wilson-Esbrand,Left Back,#97,70.8,143,63,78,"1,602"
1,Manchester City,English Premier League,26,Ben Knight,Center Attacking Midfielder,#96,68.4,130,60,74,"1,496"
1,Manchester City,English Premier League,27,Alex Robertson,Center Attacking Midfielder,#93,61.32,146,58,75,"1,593"
2,FC Bayern München,German 1. Bundesliga,1,Joshua Kimmich,Center Defensive Midfielder,#6,61.2,165,89,90,"2,292"
2,FC Bayern München,German 1. Bundesliga,2,Manuel Neuer,Goalkeeper,#1,76.8,205,89,89,"1,512"
2,FC Bayern München,German 1. Bundesliga,3,Sadio Mané,Left Midfielder,#17,70.8,152,87,87,"2,156"
2,FC Bayern München,German 1. Bundesliga,4,M. de Ligt,Center Back,#4,74.4,196,85,89,"1,970"
2,FC Bayern München,German 1. Bundesliga,5,Kingsley Coman,Left Midfielder,#11,61.2,165,85,86,"1,973"
2,FC Bayern München,German 1. Bundesliga,6,Thomas Müller,Center Attacking Midfielder,#25,73.2,168,85,85,"2,106"
2,FC Bayern München,German 1. Bundesliga,7,Leon Goretzka,Center Midfielder,#8,74.4,181,85,85,"2,297"
2,FC Bayern München,German 1. Bundesliga,8,Jamal Musiala,Center Attacking Midfielder,#42,72,154,84,92,"2,042"
2,FC Bayern München,German 1. Bundesliga,9,Alphonso Davies,Left Midfielder,#19,73.2,170,84,89,"2,171"
2,FC Bayern München,German 1. Bundesliga,10,L. Hernández,Center Back,#21,72,174,84,85,"2,005"
2,FC Bayern München,German 1. Bundesliga,11,Serge Gnabry,Right Midfielder,#7,70.8,170,84,84,"2,049"
2,FC Bayern München,German 1. Bundesliga,12,Leroy Sané,Left Midfielder,#10,72,176,84,84,"2,088"
2,FC Bayern München,German 1. Bundesliga,13,Dayot Upamecano,Center Back,#2,73.2,198,83,87,"1,882"
2,FC Bayern München,German 1. Bundesliga,14,N. Mazraoui,Right Midfielder,#40,72,143,82,85,"2,093"
2,FC Bayern München,German 1. Bundesliga,15,Benjamin Pavard,Center Back,#5,73.2,179,82,84,"2,085"
2,FC Bayern München,German 1. Bundesliga,16,Marcel Sabitzer,Center Midfielder,#18,61.2,168,81,81,"2,189"
2,FC Bayern München,German 1. Bundesliga,17,R. Gravenberch,Center Attacking Midfielder,#38,75.6,170,79,88,"2,100"
2,FC Bayern München,German 1. Bundesliga,18,E. Choupo-Moting,Striker,,75.6,198,78,78,"1,862"
2,FC Bayern München,German 1. Bundesliga,19,Sven Ulreich,Goalkeeper,#26,76.8,192,75,75,"1,138"
2,FC Bayern München,German 1. Bundesliga,20,J. Stanišić,Right Back,#44,74.4,170,74,81,"1,712"
2,FC Bayern München,German 1. Bundesliga,21,Bouna Sarr,Right Midfielder,#20,61.2,157,72,72,"2,009"
2,FC Bayern München,German 1. Bundesliga,22,Mathys Tel,Center Attacking Midfielder,#39,72,170,68,86,"1,687"
2,FC Bayern München,German 1. Bundesliga,23,Johannes Schenk,Goalkeeper,#35,75.6,187,57,72,876
3,Real Madrid CF,Spain Primera Division,1,Karim Benzema,Center Forward,#9,73.2,179,91,91,"2,143"
3,Real Madrid CF,Spain Primera Division,2,T. Courtois,Goalkeeper,#1,79.2,212,90,90,"1,336"
3,Real Madrid CF,Spain Primera Division,3,Toni Kroos,Center Midfielder,#8,72,168,88,88,"2,147"
3,Real Madrid CF,Spain Primera Division,4,Luka Modrić,Center Midfielder,#10,69.6,146,88,88,"2,258"
3,Real Madrid CF,Spain Primera Division,5,Vinícius Jr.,Left Wing,#20,70.8,161,86,92,"1,987"
3,Real Madrid CF,Spain Primera Division,6,F. Valverde,Center Midfielder,#15,72,172,86,91,"2,250"
3,Real Madrid CF,Spain Primera Division,7,David Alaba,Center Back,#4,61.32,172,86,86,"2,277"
3,Real Madrid CF,Spain Primera Division,8,A. Rüdiger,Center Back,#22,75.6,187,86,86,"2,008"
3,Real Madrid CF,Spain Primera Division,9,Éder Militão,Center Back,#3,73.2,172,85,89,"2,051"
3,Real Madrid CF,Spain Primera Division,10,Carvajal,Right Back,#2,69.6,161,84,84,"2,105"
3,Real Madrid CF,Spain Primera Division,11,A. Tchouaméni,Center Defensive Midfielder,#18,74.4,179,83,89,"2,138"
3,Real Madrid CF,Spain Primera Division,12,Rodrygo,Right Midfielder,#21,70.8,141,83,89,"2,003"
3,Real Madrid CF,Spain Primera Division,13,Ferland Mendy,Left Back,#23,61.32,161,83,84,"2,158"
3,Real Madrid CF,Spain Primera Division,14,Marco Asensio,Right Wing,#11,72,168,83,83,"2,040"
3,Real Madrid CF,Spain Primera Division,15,Nacho Fernández,Center Back,#6,61.32,168,82,82,"1,894"
3,Real Madrid CF,Spain Primera Division,16,E. Camavinga,Center Defensive Midfielder,#12,72,150,81,89,"2,142"
3,Real Madrid CF,Spain Primera Division,17,Eden Hazard,Left Wing,#7,70.8,163,81,81,"2,007"
3,Real Madrid CF,Spain Primera Division,18,Lucas Vázquez,Right Back,#17,69.6,154,81,81,"2,155"
3,Real Madrid CF,Spain Primera Division,19,Dani Ceballos,Center Midfielder,#19,61.2,150,79,81,"2,045"
3,Real Madrid CF,Spain Primera Division,20,Odriozola,Right Wing Back,#16,70.8,146,77,78,"1,971"
3,Real Madrid CF,Spain Primera Division,21,Andriy Lunin,Goalkeeper,#13,76.8,192,75,82,"1,117"
3,Real Madrid CF,Spain Primera Division,22,Vallejo,Center Back,#5,72,174,74,78,"1,696"
3,Real Madrid CF,Spain Primera Division,23,Mariano,Striker,#24,61.32,168,73,73,"1,935"
3,Real Madrid CF,Spain Primera Division,24,Iker Bravo,Striker,#27,72,174,65,84,"1,537"
3,Real Madrid CF,Spain Primera Division,25,Vinícius Tobías,Right Back,#33,70.8,146,65,83,"1,640"
3,Real Madrid CF,Spain Primera Division,26,Peter,Left Midfielder,#44,61.32,157,65,79,"1,557"
3,Real Madrid CF,Spain Primera Division,27,Arribas,Center Attacking Midfielder,#28,69.6,146,65,77,"1,582"
3,Real Madrid CF,Spain Primera Division,28,Noel,Striker,#29,72,150,63,80,"1,539"
3,Real Madrid CF,Spain Primera Division,29,Obrador,Left Back,#37,72,152,63,80,"1,490"
3,Real Madrid CF,Spain Primera Division,30,Luis López,Goalkeeper,#26,75.6,168,63,75,888
3,Real Madrid CF,Spain Primera Division,31,Cañizares,Goalkeeper,#42,73.2,179,62,78,"1,034"
3,Real Madrid CF,Spain Primera Division,32,Takuhiro Nakai,Center Attacking Midfielder,#31,61.2,150,61,83,"1,464"
3,Real Madrid CF,Spain Primera Division,33,Julen Jon,Center Attacking Midfielder,#38,73.2,152,61,82,"1,546"
4,Liverpool,English Premier League,1,Alisson,Goalkeeper,#1,75.6,201,89,90,"1,437"
4,Liverpool,English Premier League,2,Mohamed Salah,Right Wing,#11,70.8,157,89,89,"2,208"
4,Liverpool,English Premier League,3,Virgil van Dijk,Center Back,#4,76.8,203,88,88,"2,103"
4,Liverpool,English Premier League,4,A. Robertson,Left Back,#26,61.2,141,86,86,"2,155"
4,Liverpool,English Premier League,5,T. Alexander-Arnold,Center Midfielder,#66,61.32,152,85,88,"2,221"
4,Liverpool,English Premier League,6,Thiago,Center Midfielder,#6,70.8,154,85,85,"2,212"
4,Liverpool,English Premier League,7,Fabinho,Center Defensive Midfielder,#3,74.4,172,85,85,"2,129"
4,Liverpool,English Premier League,8,Diogo Jota,Striker,#20,61.2,161,84,87,"2,170"
4,Liverpool,English Premier League,9,Luis Díaz,Right Midfielder,#23,61.32,161,84,85,"2,049"
4,Liverpool,English Premier League,10,Roberto Firmino,Center Forward,#9,61.32,168,83,83,"2,155"
4,Liverpool,English Premier League,11,Darwin Núñez,Striker,#27,73.2,176,82,89,"2,094"
4,Liverpool,English Premier League,12,I. Konaté,Center Back,#5,76.8,209,81,88,"1,747"
4,Liverpool,English Premier League,13,Joel Matip,Center Back,#32,76.8,198,81,81,"1,868"
4,Liverpool,English Premier League,14,J. Henderson,Center Midfielder,#14,72,176,80,80,"2,158"
4,Liverpool,English Premier League,15,Joe Gomez,Center Back,#2,74.4,170,79,84,"1,789"
4,Liverpool,English Premier League,16,Naby Keïta,Center Attacking Midfielder,#8,69.6,141,79,79,"2,070"
4,Liverpool,English Premier League,17,Arthur,Center Midfielder,#29,68.4,161,78,80,"2,091"
4,Liverpool,English Premier League,18,James Milner,Center Defensive Midfielder,#7,70.8,154,78,78,"2,119"
4,Liverpool,English Premier League,19,Harvey Elliott,Center Attacking Midfielder,#19,68.4,148,77,87,"1,819"
4,Liverpool,English Premier League,20,Curtis Jones,Center Midfielder,#17,73.2,165,77,83,"1,991"
4,Liverpool,English Premier League,21,K. Tsimikas,Left Back,#21,61.2,150,77,78,"2,022"
4,Liverpool,English Premier League,22,A. Oxlade-Chamberlain,Center Attacking Midfielder,#15,70.8,154,77,77,"2,095"
4,Liverpool,English Premier League,23,Fábio Carvalho,Center Attacking Midfielder,#28,70.8,146,74,86,"1,802"
4,Liverpool,English Premier League,24,C. Kelleher,Goalkeeper,#62,74.4,163,73,80,"1,152"
4,Liverpool,English Premier League,25,N. Phillips,Center Back,#47,75.6,185,73,76,"1,522"
4,Liverpool,English Premier League,26,Adrián,Goalkeeper,#13,75.6,176,72,72,"1,228"
4,Liverpool,English Premier League,27,Calvin Ramsay,Right Midfielder,#22,61.2,150,64,81,"1,688"
4,Liverpool,English Premier League,28,Kaide Gordon,Right Wing,#49,69.6,143,62,83,"1,469"
4,Liverpool,English Premier League,29,Jake Cain,Center Attacking Midfielder,#64,70.8,137,62,68,"1,683"
4,Liverpool,English Premier League,30,James Norris,Left Back,#77,61.2,161,60,77,"1,479"
5,Paris Saint-Germain,French Ligue 1,1,Kylian Mbappé,Striker,#7,72,161,91,95,"2,181"
5,Paris Saint-Germain,French Ligue 1,2,Lionel Messi,Center Attacking Midfielder,#30,68.4,148,91,91,"2,190"
5,Paris Saint-Germain,French Ligue 1,3,Neymar Jr,Left Wing,#10,70.8,150,89,89,"2,156"
5,Paris Saint-Germain,French Ligue 1,4,G. Donnarumma,Goalkeeper,#99,78,198,88,92,"1,374"
5,Paris Saint-Germain,French Ligue 1,5,Marquinhos,Center Back,#5,72,165,88,89,"2,081"
5,Paris Saint-Germain,French Ligue 1,6,Marco Verratti,Center Midfielder,#6,66,132,87,87,"2,190"
5,Paris Saint-Germain,French Ligue 1,7,Keylor Navas,Goalkeeper,#1,73.2,176,86,86,"1,405"
5,Paris Saint-Germain,French Ligue 1,8,Achraf Hakimi,Right Back,#2,61.32,161,84,87,"2,229"
5,Paris Saint-Germain,French Ligue 1,9,Sergio Ramos,Center Back,#4,72,181,84,84,"2,136"
5,Paris Saint-Germain,French Ligue 1,10,P. Kimpembe,Center Back,#3,74.4,176,83,86,"1,943"
5,Paris Saint-Germain,French Ligue 1,11,Fabián,Center Midfielder,#8,74.4,154,82,83,"2,101"
5,Paris Saint-Germain,French Ligue 1,12,Nuno Mendes,Left Back,#25,70.8,154,81,89,"2,091"
5,Paris Saint-Germain,French Ligue 1,13,Carlos Soler,Center Midfielder,#28,61.32,168,81,84,"2,163"
5,Paris Saint-Germain,French Ligue 1,14,Danilo Pereira,Center Defensive Midfielder,#15,74.4,183,81,81,"1,990"
5,Paris Saint-Germain,French Ligue 1,15,Vitinha,Center Attacking Midfielder,#17,69.6,141,80,86,"2,061"
5,Paris Saint-Germain,French Ligue 1,16,Nordi Mukiele,Center Back,#26,74.4,185,79,83,"1,972"
5,Paris Saint-Germain,French Ligue 1,17,Pablo Sarabia,Right Wing,#19,70.8,154,79,79,"2,020"
5,Paris Saint-Germain,French Ligue 1,18,Renato Sanches,Center Attacking Midfielder,#18,70.8,154,78,83,"2,181"
5,Paris Saint-Germain,French Ligue 1,19,Juan Bernat,Left Back,#14,68.4,148,78,78,"2,054"
5,Paris Saint-Germain,French Ligue 1,20,Hugo Ekitike,Striker,#44,74.4,154,76,84,"1,749"
5,Paris Saint-Germain,French Ligue 1,21,Sergio Rico,Goalkeeper,#16,78,198,74,76,"1,199"
5,Paris Saint-Germain,French Ligue 1,22,T. Pembélé,Right Midfielder,#32,72,168,70,81,"1,790"
5,Paris Saint-Germain,French Ligue 1,23,A. Letellier,Goalkeeper,#90,76.8,205,68,68,"1,050"
5,Paris Saint-Germain,French Ligue 1,24,Ismaël Gharbi,Center Attacking Midfielder,#35,67.2,128,66,79,"1,625"
5,Paris Saint-Germain,French Ligue 1,25,E. Bitshiabu,Center Back,#31,78,212,64,82,"1,447"
5,Paris Saint-Germain,French Ligue 1,26,Kenny Nagera,Striker,#43,61.2,143,63,74,"1,547"
6,Atlético de Madrid,Spain Primera Division,1,Jan Oblak,Goalkeeper,#13,74.4,192,89,90,"1,404"
6,Atlético de Madrid,Spain Primera Division,2,A. Griezmann,Center Attacking Midfielder,#8,70.8,161,86,86,"2,295"
6,Atlético de Madrid,Spain Primera Division,3,Y. Carrasco,Left Midfielder,#21,61.32,161,84,84,"2,138"
6,Atlético de Madrid,Spain Primera Division,4,Marcos Llorente,Center Attacking Midfielder,#14,72,163,84,84,"2,231"
6,Atlético de Madrid,Spain Primera Division,5,Stefan Savić,Center Back,#15,74.4,176,84,84,"1,754"
6,Atlético de Madrid,Spain Primera Division,6,R. De Paul,Center Midfielder,#5,61.32,154,84,84,"2,244"
